CDARAP|UMISAP|ALIVAP|DSARAP|DSALAP|CISOAP|PRZ1AP|PRZ2AP|PRZ3AP|PRZ4AP|STREAP
ABA|KG|04|BIRNEN ABATE|PERE ABATE|IT|3.50|3.50|3.50||1|
AFFILLA|NR|04|AFFILLA KRESSE|CRESCIONE AFFILLA|NL|17.50|17.50|17.50||1|
AGR|KG|04|AGRETTI|AGRETTI|IT|6.50||||1|
AMKAR|KG|10|SÜSSKARTOFFELN|PATATE DOLCI|IT|2.80|2.80|2.50||1|
AN|KG|04|ANANAS|ANANAS|EC|2.20|2.20|2.20||1|
ANFLUG|KG|04|ANANAS FLUG|ANANAS  VIA AEREA|EC|5.50|5.60|5.50||1|
ANGEC|KG|04|WASSERMELONEN|ANGURIE|EC|2.00|2.00|2.00||1|
ANI|NR|04|ANIS BLÜTEN|FIORI DI ANICE|NL|18.00|18.00|18.00||1|
ANMI|KG|04|ANANAS BABY|ANANAS MIGNON|EC|5.00|5.00|5.00||1|
APBLOS|NR|04|APPLE BLOSSOM|APPLE BLOSSOM|NL|18.00|18.00|18.00||1|
APCOSMIC|KG|04|APFEL COSMIC CRISP|MELE COSMIC CRISP|IT|2.20|2.20|2.20||1|
APENVY|KG|04|APFEL ENVY SCILATE|MELE ENVY SCILATE|BZ|2.20|2.20|2.20||1|
APGOL|KG|04|APFEL GOLDEN DELICIO|MELE GOLDEN DELICIOU|BZ|1.88|1.88|1.88||1|
APGRA|KG|04|APFEL GRANNY SMITH|MELE GRANNY SMITH|BZ|2.00|2.00|2.00||1|
APII|KG|04|APFEL II|MELE II|BZ|.93|.93|.93||1|
APJ|KG|04|APFEL JONAGOLD VINSC|MELE JONAGOLD|IT|1.70|1.70|1.70||1|
APKANZI|KG|04|APFEL KANZI NICOTER|MELE KANZI NICOTER|BZ|1.88|1.88|1.88||1|
AUS|KG|04|AUSTERNPILZE|FUNGHI AUSTERN|IT|5.00|5.50|5.00||1|
AVO|KG|04|AVOCADOS|AVOCADO|EC|7.50|7.50|7.50||1|
BA|KG|04|BANANEN|BANANE|EC|2.20|2.20|2.10||1|
