CLDECP|CLFACP|CDAGE|RASCL|RASC2|INDCL|LOCCL|PROCL|CCAPCP|PAIVCP|CDLIN|CDLIS|TPIVA|SCONTO
ADLER01|ADLER01|06|CAMPING BUNGALOWS ADLER KG|DES KARLHEINZ GAMPER & CO.|LIDOSTRASSE, 14|NATURNS|BZ|39025|00487610214||01|N||
ADLER02|ADLER02|06|REST. PIZZ. ZUM ADLER|OTTL PETER & CO KG|HAUPTSTRASSSE, 4|NATURNS|BZ|39025|02740110214||01|N||
AIJOO|AIJOO|06|AIJOO EISMANUFAKTUR|KATRIN POHL|BAHNHOFSTRASSE, 47|NATURNS|BZ|39025|03147020212||01|N||
ALTERS18|ALTERS19|06|SENIORENHEIM ST. ZENO NATURNS|KONS. NATURNS-SCHNALS-PLAUS|GUSTAV FLORA STR. 10|NATURNS  100062|BZ|39025|02607440217|||N|03080|
ALTERS20|ALTERS20|06|SENIORENHEIM PARTSCHINS||WASSERFALLWEG, 9|PARTSCHINS|BZ|39020|02780480212|||N|02880|
BAUMGA02|BAUMGA02|06|KONDITOREI BAUMGARTNER|BAUMGART OHG-STECHER & CO.|HAUPTSTRASSE,43|NATURNS|BZ|39025|00469540215||01|N||
BIRKENWA|BIRKENWA|06|GASTHAUS BIRKENWALD|TAPPEINER HERBERT|WASSERFALLWEG, 40|PARTSCHINS|BZ|39020|02296370212||01|N||
BRAUGART|BRAUGART|06|BRAUGARTEN GMBH||VINSCHGERSTR. 9|ALGUND|BZ|39022|03055570216||03|N|00300|
CHRISTAN|CHRISTAN|06|CHRISTANELL JOSEF & CO.OHG||HAUPTSTRASSE,49|NATURNS|BZ|39025|01192380218||01|N||
CUTRAUN|CUTRAUN|06|RESTAURANT CUTRAUN|DES GOGELE ANDREAS & CO. KG|CUTRAUNSTR. 28|PARTSCHINS|BZ|39020|03317820219||01|N||
DIAMANT|DIAMANT|06|HOTEL DIAMANT|SANTER MANFRED & CO.KG|HERRENGASSE,1|NATURNS|BZ|39025|00523950210||01|N||
EICHENHO|EICHENHO|06|PENSION EICHENHOF|MITTERHOFER ROSA|LODNERSTRASSE, 9|PARTSCHINS|BZ|39020|00209480219||01|N||
ENNEMOSE|ENNEMOSE|06|REST. PIZZ. ENNEMOSER|DER HELGA ENNEMOSER|VINSCHGAUERSTR. 9|RABLAND/PARTSCHINS|BZ|39020|00642660211||01|N||
ERLEBNIS|ERLEBNIS|06|RESTAURANT PIZZERIA ERLEBNISBAD|DANNY LECHTHALER|FELDWEG, 5|NATURNS|BZ|39025|03131190211||01|N||
FANTAZ01|FANTAZ01|06|STREETFOOD FANTAZY NATURNS|MOUZONI LAHSEN|GERICHTSTRASSE, 5|SCHLANDERS|BZ|39028|02464350210||01|N||
FLIRI|FLIRI|06|FLIRI GREGOR||HAUPTSTRASSE, 50|NATURNS|BZ|39025|02780030215||01|N||
GAPP|GAPP|06|RESTAURANT GAPP KG|SCHONWEGER HERMANN & CO.|HAUPTSTRASSE, 31|NATURNS|BZ|39025|01070690217||01|N||
GBOTAN01|GBOTAN01|06|G.E.S. GMBH| LOWECENTER|EISACKSTRASSE, 1|VAHRN|BZ|39040|01389380211||01|N|00200|
GBOTANGO|GBOTAN01|06|HOTEL BOTANGO KG|DER TUMLER ROSMARIE & CO.|VINSCHGAUERSTRASSE, 105|TOLL / PARTSCHINS|BZ|39020|01389380211||03|N|00500|
GIGGLBER|GIGGLBER|06|GASTHAUS GIGGLBERG|PICHLER HEIDI|SONNENBERGWEG, 61|PARTSCHINS|BZ|39020|02622910210||01|N||
GOTSCH02|GOTSCH02|06|GOTSCH RANDOLD OHG||SONNENBERGWEG, 52|PARTSCHINS|BZ|39020|00739010213||01|N||
GOTSCH04|GOTSCH04|06|METZGEREI|GOTSCH ANTON & CO. KG|HAUPTSTRASSE, 73|NATURNS|BZ|39025|01192460218||01|N||
GRASWEGE|GRASWEGE|06|GRASWEGER KELLER|D. SCHONWEGER JULIAN|VERTIGENSTR. 15|PARTSCHINS|BZ|39020|03072170214||01|N||
GRILLSTU|GRILLSTU|06|M&M OHG|DES SCHONWEGER MARTIN & CO.|LAHNSTR. 4|RABLAND|BZ|39020|02945460216||01|N||
HANDER01|HANDER01|06|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HANDERLA|HANDER01|06|KLEINFEINHOTEL ANDERLAHN|KASERER JULIAN & CO. KG|KLEINKARLSBACHERSTRASSE,5|PARTSCHINS|BZ|39020|01342330212||02|N||
HFELDH01|HFELDH01|06|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||03|N||
HFELDHOF|HFELDH01|06|HOTEL FELDHOF GMBH|FAM. PERATHONER|RATHAUSSTRASSE, 4|NATURNS|BZ|39025|01342330212||03|N||
HFUNGG01|HFUNGG01|06|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
HFUNGGAS|HFUNGG01|06|HOTEL FUNGGASHOF|GEBR. PRANTNER KARL OHG|AM GRABEN, 1|NATURNS|BZ|39025|01342330212||02|N||
HHANSW01|HHANSW01|06|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212|||N||
HHANSWIR|HHANSW01|06|HOTEL HANSWIRT|D. LAIMER MATTHIAS & C.|GEROLDPLATZ, 3|PARTSCHINS/RABLAND|BZ|39020|01342330212||03|N||
HKREUZ01|HKREUZ01|06|HOGAST ITALIEN EINKAUFSGEN.|FUR DAS HOTEL- UND GASTGEWERBE|SCHLACHTHOFSTRASSE, 53-B|BOZEN|BZ|39100|01342330212||01|N||
